# generation power_min power_avg power_max util_min util_avg util_max
1 45.219849 45.219849 45.219849 1.046683 1.479355 1.499802
10 45.202766 45.202766 45.202766 1.046683 1.465960 1.499802
20 46.025006 20.012381 46.025006 0.983735 1.437871 1.499802
30 46.025006 20.012381 46.025006 0.983735 1.419016 1.498557
40 46.025006 21.663165 46.025006 0.963323 1.389380 1.498557
50 46.025006 22.452133 46.025006 0.734578 1.361786 1.498557
60 46.025006 22.452133 46.025006 0.734578 1.337948 1.498557
70 46.025006 24.848105 46.025006 0.734578 1.294986 1.498557
80 46.025006 24.504705 46.025006 0.734578 1.248188 1.498557
90 46.025006 23.546591 46.025006 0.734578 1.202456 1.497391
100 45.974151 23.433228 45.974151 0.734578 1.160009 1.497391
110 45.974151 23.438936 45.974151 0.734578 1.116867 1.497391
120 45.974151 23.043179 45.974151 0.734578 1.082731 1.495612
130 39.273908 22.395361 39.273908 0.734578 1.045736 1.495612
140 39.273908 22.013996 39.273908 0.734578 1.022409 1.495612
150 34.641217 21.362255 34.641217 0.734578 1.003435 1.495612
160 29.132006 20.532499 29.132006 0.717168 0.979523 1.419245
170 25.640149 19.866800 25.640149 0.717168 0.961848 1.306081
180 22.556847 19.052981 22.556847 0.717168 0.957024 1.250542
190 21.873413 18.632050 21.873413 0.717168 0.947248 1.165140
200 21.240362 18.270919 21.240362 0.717168 0.941067 1.103880
210 14.093270 17.682374 20.704560 0.717168 0.942089 1.103880
220 20.124977 17.271354 20.124977 0.777720 0.944345 1.103880
230 19.568861 16.806947 19.568861 0.726184 0.941904 1.103880
240 19.129469 16.367761 19.129469 0.726184 0.940735 1.103880
250 18.203544 15.991121 18.203544 0.726184 0.934222 1.073400
260 17.793466 15.622588 17.793466 0.726184 0.932640 1.073400
270 17.184378 15.271241 17.184378 0.748299 0.934501 1.073400
280 16.611969 15.032657 16.611969 0.748299 0.934912 1.073400
290 13.641201 14.865057 16.001249 0.748299 0.927205 1.073400
300 13.274491 14.673097 15.754131 0.748299 0.921954 1.057713
310 13.274491 14.489943 15.500532 0.740209 0.922232 1.057713
320 13.168355 14.313077 15.143101 0.733992 0.920641 1.057713
330 13.085335 14.164586 14.919516 0.733992 0.920212 1.057713
340 12.799069 13.986899 14.759314 0.733992 0.917922 1.022768
350 14.669044 13.880502 14.669044 0.733992 0.911249 1.020643
360 12.420590 13.728429 14.538671 0.733992 0.913944 1.020643
370 14.373460 13.585747 14.373460 0.733992 0.917035 1.049480
380 14.265416 13.433509 14.265416 0.733992 0.920628 1.049480
390 14.093270 13.313365 14.093270 0.738243 0.925786 1.055532
400 13.954739 13.192698 13.954739 0.738243 0.926340 1.055532
410 13.768146 13.078437 13.768146 0.740209 0.930521 1.055532
420 13.597280 12.965945 13.597280 0.770378 0.941918 1.057752
430 13.433172 12.871947 13.433172 0.820030 0.948214 1.057752
440 13.311396 12.779638 13.311396 0.820030 0.949581 1.057752
450 13.126307 12.692762 13.126307 0.820030 0.952651 1.057752
460 13.060294 12.596202 13.060294 0.820030 0.949966 1.057752
470 12.996218 12.519196 12.996218 0.820030 0.945524 1.057752
480 12.844968 12.424811 12.844968 0.723624 0.945351 1.057752
490 11.667971 12.337397 12.799069 0.723624 0.939983 1.006622
500 11.667971 12.262090 12.679667 0.723624 0.933002 1.006622
510 11.667971 12.192943 12.595955 0.720473 0.923135 1.006622
520 11.374664 12.103219 12.533389 0.720473 0.922226 1.006622
530 11.370852 12.015996 12.416539 0.720473 0.911845 1.006622
540 11.357794 11.952014 12.328289 0.720473 0.907709 1.006622
550 11.286825 11.881677 12.259999 0.720473 0.900518 1.006622
560 11.203588 11.811494 12.217445 0.720473 0.894844 1.006622
570 11.078309 11.744410 12.117279 0.720473 0.887445 1.006622
580 11.078309 11.674939 12.079351 0.720473 0.881868 1.006622
590 10.876723 11.618529 11.954855 0.720473 0.877917 1.006622
600 10.874484 11.552984 11.888528 0.720473 0.872673 1.004572
610 10.874484 11.500343 11.806379 0.720473 0.871312 1.001378
620 10.722951 11.442776 11.756290 0.720473 0.863800 0.999171
630 10.450356 11.372916 11.725965 0.720473 0.864878 0.984497
640 10.450356 11.309937 11.668041 0.720473 0.867672 0.984497
650 10.450356 11.244731 11.626979 0.720473 0.869454 0.998165
660 10.450356 11.163885 11.543980 0.753014 0.870423 0.999441
670 10.450356 11.090634 11.451035 0.753014 0.866885 0.999441
680 10.373185 11.028330 11.374664 0.753014 0.871781 1.000927
690 10.373185 10.957900 11.339721 0.753014 0.869979 1.000927
700 10.099285 10.887517 11.291859 0.753014 0.870253 1.000927
710 10.099285 10.813247 11.225708 0.753014 0.872655 1.000927
720 10.099285 10.738557 11.129761 0.753014 0.871129 1.000927
730 10.073506 10.658252 11.053042 0.753014 0.874324 1.000927
740 10.073506 10.591765 11.025712 0.753014 0.874822 1.000927
750 10.000340 10.522175 10.921995 0.753014 0.875267 0.999441
760 9.961176 10.446611 10.841893 0.753014 0.874920 0.972751
770 9.761697 10.371543 10.743950 0.753014 0.875080 0.971066
780 9.761697 10.299771 10.695185 0.763719 0.880660 0.971066
790 9.638095 10.230624 10.588783 0.771645 0.885364 0.971066
800 9.638095 10.169692 10.535033 0.771645 0.885616 0.966045
810 9.638095 10.111885 10.469643 0.771645 0.887312 0.943066
820 9.638095 10.059330 10.373185 0.771645 0.890913 0.943066
830 9.575705 9.999731 10.303283 0.771645 0.892167 0.943066
840 9.574896 9.947936 10.246696 0.825497 0.900025 0.943066
850 9.574896 9.901225 10.132070 0.825497 0.903158 0.931450
860 9.574558 9.864120 10.080630 0.835956 0.905854 0.931450
870 9.574558 9.820877 10.023680 0.835956 0.907802 0.931450
880 9.505985 9.780550 10.021043 0.845242 0.910481 0.931450
890 9.505985 9.739618 9.982203 0.845242 0.912001 0.931450
900 9.505985 9.700787 9.952715 0.845242 0.913498 0.931450
910 9.505985 9.669235 9.883267 0.886958 0.913717 0.931450
920 9.505985 9.642914 9.824927 0.886958 0.913360 0.931067
930 9.505985 9.620435 9.786361 0.886958 0.913304 0.930584
940 9.505985 9.600183 9.745267 0.894342 0.913286 0.916981
950 9.505985 9.584727 9.688558 0.894342 0.913622 0.916981
960 9.505985 9.577877 9.620857 0.912267 0.913921 0.916981
970 9.505985 9.573676 9.592134 0.912267 0.913731 0.916757
980 9.505985 9.572600 9.575705 0.912487 0.913910 0.916757
990 9.505985 9.571488 9.574896 0.912487 0.914018 0.916757
1000 9.505985 9.571270 9.574896 0.912487 0.914079 0.916757
1010 9.505985 9.569830 9.574896 0.912487 0.914307 0.916757
1020 9.505985 9.568327 9.574896 0.912487 0.914556 0.916977
1030 9.488664 9.565017 9.574896 0.912487 0.914877 0.918278
1040 9.488664 9.562934 9.574896 0.912487 0.915186 0.918278
1050 9.488664 9.560868 9.574896 0.912487 0.915475 0.918278
1060 9.488664 9.558601 9.574896 0.912487 0.915799 0.918278
1070 9.487494 9.554439 9.573726 0.913688 0.916199 0.918499
1080 9.487494 9.552313 9.570733 0.913688 0.916497 0.918499
1090 9.487494 9.549245 9.569819 0.913965 0.916706 0.918499
1100 9.487494 9.546219 9.569819 0.913965 0.916871 0.918499
1110 9.487494 9.543106 9.552581 0.916526 0.916994 0.918499
1120 9.487494 9.541141 9.552581 0.916526 0.917049 0.918499
1130 9.487494 9.537248 9.552581 0.916526 0.917151 0.918499
1140 9.487494 9.533354 9.552581 0.916526 0.917253 0.918499
1150 9.487494 9.529414 9.552581 0.916526 0.917364 0.918499
1160 9.482861 9.524812 9.552581 0.916526 0.917488 0.918661
1170 9.482861 9.520035 9.552581 0.916526 0.917623 0.918661
1180 9.482861 9.513457 9.552581 0.916526 0.917796 0.918661
1190 9.482861 9.506927 9.551411 0.916526 0.917953 0.918661
1200 9.482861 9.500535 9.551411 0.916526 0.918105 0.918661
1210 9.482861 9.494655 9.551411 0.916526 0.918245 0.918661
1220 9.482861 9.488171 9.551411 0.916526 0.918400 0.918661
1230 9.482861 9.486906 9.488664 0.918278 0.918474 0.918661
1240 9.482861 9.486558 9.488664 0.918278 0.918505 0.918661
1250 9.482861 9.486070 9.488664 0.918278 0.918540 0.918661
1260 9.482861 9.485548 9.487494 0.918499 0.918567 0.918661
1270 9.482861 9.485178 9.487494 0.918499 0.918580 0.918661
1280 9.482861 9.484715 9.487494 0.918499 0.918596 0.918661
1290 9.482861 9.484251 9.487494 0.918499 0.918612 0.918661
1300 9.482861 9.483788 9.487494 0.918499 0.918628 0.918661
1310 9.482861 9.483325 9.487494 0.918499 0.918645 0.918661
1320 9.482861 9.482861 9.482861 0.918661 0.918661 0.918661
