# generation power_min power_avg power_max util_min util_avg util_max
1 6.998629 8.147132 9.772017 0.311349 0.403233 0.498777
10 6.998629 8.000268 8.882732 0.322518 0.406409 0.498777
20 6.998629 7.851092 8.612422 0.322518 0.409392 0.473746
30 6.732436 7.726933 8.422530 0.322587 0.412049 0.475060
40 6.701691 7.605928 8.321659 0.347823 0.414980 0.475060
50 6.701691 7.489980 8.118146 0.347823 0.418311 0.481140
60 6.479093 7.373405 7.999288 0.365762 0.423737 0.495401
70 6.479093 7.259365 7.849733 0.365762 0.428121 0.495401
80 6.325238 7.144698 7.728257 0.365762 0.432114 0.495401
90 6.123804 7.032388 7.660100 0.365762 0.437825 0.495401
100 6.123804 6.933640 7.539976 0.379221 0.442914 0.495401
110 6.123804 6.838969 7.377104 0.379221 0.445824 0.495401
120 6.060630 6.738461 7.307281 0.395344 0.450938 0.495401
130 6.011603 6.643078 7.182756 0.395344 0.452226 0.500520
140 6.011603 6.554769 6.999813 0.411200 0.455971 0.521370
150 5.730010 6.488617 6.929700 0.400782 0.457425 0.521370
160 5.730010 6.416790 6.843351 0.400782 0.459470 0.521370
170 5.730010 6.336947 6.750787 0.400782 0.462191 0.521370
180 5.730010 6.271884 6.626428 0.412269 0.467354 0.521370
190 5.578499 6.206847 6.541304 0.413576 0.471700 0.528012
200 5.550412 6.140796 6.494413 0.413576 0.476245 0.542133
210 5.515469 6.080455 6.432700 0.413576 0.480585 0.542133
220 5.396504 6.014486 6.351276 0.439761 0.486138 0.542133
230 5.357402 5.945204 6.288753 0.439761 0.490019 0.542133
240 5.357402 5.883445 6.219954 0.446589 0.495349 0.542133
250 5.357402 5.821376 6.147274 0.459800 0.499147 0.542133
260 5.045743 5.751787 6.084965 0.462608 0.502811 0.542133
270 4.988104 5.679604 6.030545 0.462608 0.506365 0.542133
280 4.988104 5.622453 5.988079 0.466352 0.508993 0.542133
290 4.988104 5.559854 5.925754 0.466352 0.511991 0.549202
300 4.988104 5.497648 5.841307 0.466352 0.515112 0.549202
310 4.919570 5.432809 5.777966 0.466352 0.517789 0.554241
320 4.919570 5.380044 5.705519 0.479429 0.518916 0.554241
330 4.919570 5.329597 5.635113 0.479429 0.520992 0.564463
340 4.871429 5.273479 5.550412 0.479429 0.523479 0.564463
350 4.817540 5.220134 5.485320 0.479429 0.525607 0.573068
360 4.729961 5.161338 5.433516 0.491318 0.527569 0.573068
370 4.729961 5.110556 5.422044 0.491318 0.529964 0.573068
380 4.630224 5.055384 5.351439 0.492333 0.530980 0.573068
390 4.630224 5.010837 5.304155 0.504214 0.532722 0.573068
400 4.622650 4.958354 5.252938 0.504214 0.534343 0.573068
410 4.611242 4.911558 5.170178 0.508447 0.535440 0.573068
420 4.444631 4.861105 5.109018 0.513017 0.538361 0.595013
430 4.437313 4.818318 5.045743 0.514360 0.541873 0.595013
440 4.368093 4.771731 4.988631 0.514360 0.544016 0.595081
450 4.368093 4.729239 4.969713 0.517106 0.546129 0.595081
460 4.294754 4.688924 4.908319 0.517106 0.548564 0.595081
470 4.294754 4.647977 4.869231 0.517106 0.551577 0.601513
480 4.266366 4.600362 4.849192 0.517106 0.552755 0.601513
490 4.190269 4.552865 4.794391 0.519223 0.555973 0.601513
500 4.179490 4.505145 4.743519 0.519223 0.558940 0.601513
510 4.179490 4.470535 4.694140 0.519223 0.561504 0.601513
520 4.179490 4.429981 4.631681 0.519223 0.564731 0.601513
530 4.132865 4.389685 4.612165 0.531423 0.568881 0.605970
540 4.032288 4.350478 4.574243 0.532595 0.572292 0.614482
550 4.032288 4.315915 4.519498 0.532595 0.575764 0.614482
560 4.032288 4.284332 4.496747 0.532595 0.577421 0.614482
570 4.029310 4.250609 4.455338 0.532595 0.579242 0.614482
580 4.029310 4.223188 4.418264 0.541421 0.583461 0.614482
590 4.029310 4.203042 4.327098 0.541421 0.586124 0.614482
600 4.029310 4.183982 4.294754 0.549536 0.587608 0.614482
610 4.007028 4.167003 4.266366 0.561992 0.590308 0.617408
620 3.997644 4.149408 4.228764 0.564072 0.592000 0.617408
630 3.997644 4.137046 4.206704 0.574289 0.593239 0.617408
640 3.987007 4.121912 4.206704 0.574289 0.595076 0.617408
650 3.919359 4.104921 4.183555 0.574289 0.597150 0.617408
660 3.899781 4.086291 4.183091 0.574289 0.597798 0.617408
670 3.899781 4.069338 4.168381 0.574289 0.599062 0.617408
680 3.868546 4.049590 4.159549 0.574289 0.599652 0.623359
690 3.868546 4.032507 4.145778 0.574289 0.600097 0.623359
700 3.868546 4.013505 4.127765 0.574289 0.601862 0.623359
710 3.829578 3.991978 4.099912 0.583937 0.603377 0.626368
720 3.819053 3.972866 4.069968 0.583937 0.604519 0.626368
730 3.819053 3.957554 4.032288 0.591800 0.606050 0.626368
740 3.817929 3.942978 4.029310 0.591800 0.607095 0.626368
750 3.817929 3.927314 4.011397 0.593024 0.609387 0.626368
760 3.811440 3.912069 4.000475 0.593024 0.610644 0.626368
770 3.808416 3.897141 3.989677 0.593024 0.612161 0.626368
780 3.800055 3.882478 3.965733 0.593024 0.613557 0.626368
790 3.800055 3.870262 3.946254 0.593024 0.614300 0.626368
800 3.777161 3.860239 3.923322 0.593024 0.614677 0.635104
810 3.777161 3.850649 3.912538 0.599924 0.616196 0.635104
820 3.777161 3.841718 3.899781 0.599924 0.617559 0.635104
830 3.777161 3.833505 3.894220 0.599924 0.619011 0.635104
840 3.777161 3.826317 3.876206 0.610376 0.620121 0.635104
850 3.756563 3.821259 3.855608 0.614828 0.621162 0.637491
860 3.756563 3.817774 3.829578 0.618363 0.621954 0.637491
870 3.748202 3.814314 3.829578 0.618363 0.622944 0.638643
880 3.748202 3.810631 3.829578 0.618363 0.623987 0.638643
890 3.748202 3.805791 3.829578 0.618363 0.625276 0.638643
900 3.748202 3.803310 3.829578 0.618363 0.626035 0.638643
910 3.748202 3.798657 3.829578 0.618363 0.627313 0.638643
920 3.748202 3.793576 3.816640 0.623239 0.628534 0.638643
930 3.748202 3.787863 3.816640 0.623239 0.629856 0.638643
940 3.748202 3.782343 3.816640 0.623239 0.631128 0.638643
950 3.748202 3.776126 3.811440 0.624302 0.632569 0.638643
960 3.748202 3.770264 3.811440 0.624302 0.633905 0.638643
970 3.748202 3.764418 3.795478 0.629529 0.635247 0.638643
980 3.727040 3.760090 3.787117 0.630681 0.636171 0.644933
990 3.727040 3.756522 3.781917 0.631202 0.636912 0.644933
1000 3.727040 3.753232 3.777724 0.631202 0.637703 0.644933
1010 3.727040 3.749517 3.777724 0.631202 0.638687 0.644933
1020 3.727040 3.747460 3.756563 0.637491 0.639128 0.644933
1030 3.727040 3.746201 3.756563 0.637491 0.639369 0.644933
1040 3.727040 3.744769 3.748202 0.638643 0.639701 0.644933
1050 3.727040 3.744134 3.748202 0.638643 0.639890 0.644933
1060 3.727040 3.742865 3.748202 0.638643 0.640267 0.644933
1070 3.727040 3.741760 3.748202 0.638643 0.640633 0.644933
1080 3.727040 3.739855 3.748202 0.638643 0.641199 0.644933
1090 3.727040 3.738162 3.748202 0.638643 0.641702 0.644933
1100 3.727040 3.736470 3.748202 0.638643 0.642205 0.644933
1110 3.727040 3.734353 3.748202 0.638643 0.642834 0.644933
1120 3.727040 3.732237 3.748202 0.638643 0.643463 0.644933
1130 3.727040 3.730121 3.748202 0.638643 0.644092 0.644933
1140 3.727040 3.728005 3.748202 0.638643 0.644721 0.644933
1150 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1160 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1170 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1180 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1190 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1200 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1210 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1220 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1230 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1240 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1250 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1260 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1270 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1280 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1290 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1300 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
1310 3.727040 3.727040 3.727040 0.644933 0.644933 0.644933
