# generation power_min power_avg power_max util_min util_avg util_max
1 8.282518 10.028233 11.780787 0.442054 0.662453 0.865879
10 7.814376 9.817412 11.090416 0.442054 0.666855 0.855524
20 7.814376 9.636319 10.695064 0.442054 0.666674 0.855524
30 7.814376 9.453533 10.346750 0.442054 0.670957 0.855524
40 7.814376 9.307554 10.154348 0.496501 0.678914 0.855524
50 7.324256 9.117421 10.046141 0.496501 0.672201 0.855524
60 7.223484 8.939217 9.780149 0.496501 0.667062 0.855524
70 7.223484 8.769138 9.641753 0.444561 0.663471 0.855524
80 7.204643 8.605551 9.524312 0.444561 0.654289 0.855524
90 7.204643 8.461275 9.344368 0.444561 0.651041 0.855524
100 7.119270 8.304490 9.221038 0.444561 0.644228 0.834949
110 6.888916 8.150751 9.033452 0.444561 0.635433 0.834949
120 6.888916 8.009262 8.840360 0.444561 0.627281 0.834949
130 6.888916 7.880473 8.579377 0.444561 0.619841 0.834949
140 6.888916 7.740411 8.499564 0.444561 0.612997 0.834949
150 6.782575 7.611736 8.298541 0.444561 0.602364 0.826707
160 6.480255 7.459388 8.216174 0.444561 0.600354 0.826707
170 6.470382 7.335957 8.113011 0.444561 0.593929 0.826707
180 6.470382 7.214160 7.929105 0.444561 0.583476 0.799594
190 6.357402 7.097600 7.748442 0.444561 0.578440 0.792148
200 6.112555 6.988819 7.611811 0.444561 0.582185 0.792148
210 6.112555 6.872170 7.427363 0.468024 0.583842 0.792148
220 5.883980 6.775677 7.302122 0.468024 0.584488 0.714976
230 5.883980 6.684842 7.203224 0.469749 0.587232 0.714976
240 5.713814 6.577164 7.049188 0.464315 0.583635 0.714976
250 5.713814 6.489215 6.984082 0.464315 0.583325 0.711528
260 5.713814 6.406457 6.923707 0.454184 0.578157 0.711528
270 5.646682 6.305860 6.812866 0.443863 0.578917 0.711528
280 5.339078 6.198946 6.746760 0.443863 0.580549 0.711528
290 5.339078 6.112566 6.608701 0.426752 0.577166 0.711528
300 5.339078 6.023675 6.517166 0.426752 0.570344 0.687561
310 5.279280 5.936430 6.446877 0.426752 0.563431 0.675547
320 5.145327 5.848919 6.324785 0.426752 0.555648 0.670906
330 5.145327 5.776808 6.215061 0.420679 0.549289 0.663649
340 5.145327 5.704817 6.102927 0.420679 0.548969 0.663649
350 5.034886 5.629744 5.991524 0.419269 0.550132 0.663649
360 4.922361 5.564133 5.931363 0.419269 0.550430 0.681591
370 4.922361 5.500143 5.835156 0.419269 0.551539 0.681591
380 4.922361 5.436766 5.788001 0.418124 0.547302 0.681591
390 4.922361 5.374180 5.723607 0.418124 0.544192 0.681591
400 4.802650 5.305560 5.667379 0.418124 0.540186 0.681591
410 4.796448 5.239562 5.600186 0.393867 0.540754 0.682893
420 4.717930 5.176944 5.490058 0.393867 0.541870 0.769056
430 4.632427 5.119284 5.399394 0.393867 0.537838 0.769056
440 4.593716 5.068957 5.352715 0.393867 0.534528 0.769056
450 4.505313 5.020973 5.298927 0.393867 0.532145 0.769056
460 4.505313 4.971378 5.240352 0.393867 0.532877 0.682893
470 4.505313 4.924443 5.185983 0.393867 0.529489 0.682893
480 4.505313 4.877332 5.145327 0.393867 0.529905 0.682893
490 4.473249 4.825686 5.082257 0.429523 0.529332 0.682893
500 4.336838 4.776331 5.026003 0.429523 0.528708 0.682893
510 4.336838 4.732179 4.979688 0.463134 0.529178 0.682893
520 4.336838 4.686842 4.934485 0.463134 0.530792 0.682893
530 4.306781 4.646869 4.881422 0.463134 0.530617 0.682893
540 4.264086 4.603796 4.862640 0.463134 0.530196 0.682893
550 4.264086 4.564378 4.805440 0.463134 0.530549 0.682893
560 4.184507 4.525236 4.769541 0.473826 0.530729 0.677372
570 4.173958 4.487767 4.692531 0.473826 0.526495 0.670817
580 4.173958 4.463206 4.632427 0.473826 0.526358 0.670817
590 4.153595 4.430774 4.609055 0.473826 0.526462 0.670817
600 4.144677 4.404385 4.542270 0.489088 0.525959 0.670817
610 4.144677 4.384157 4.506349 0.489088 0.526934 0.634071
620 4.138586 4.354768 4.501641 0.489088 0.529821 0.634071
630 4.015976 4.324081 4.473249 0.489088 0.530887 0.634071
640 4.015976 4.297663 4.447888 0.489088 0.530967 0.634071
650 3.983754 4.264701 4.423759 0.489088 0.532076 0.634071
660 3.947697 4.233773 4.400835 0.489088 0.532591 0.634071
670 3.947697 4.209052 4.359533 0.489088 0.534786 0.634071
680 3.905790 4.177478 4.335888 0.472163 0.534372 0.620434
690 3.899578 4.146099 4.307935 0.472163 0.536898 0.620434
700 3.836408 4.106733 4.293240 0.472163 0.539714 0.620434
710 3.807010 4.074367 4.265409 0.472163 0.541319 0.620434
720 3.751431 4.036618 4.213063 0.472163 0.544444 0.620434
730 3.685551 4.007048 4.184507 0.472163 0.547966 0.646165
740 3.685551 3.979917 4.157022 0.472163 0.552391 0.646165
750 3.685551 3.946823 4.138586 0.472163 0.554935 0.646165
760 3.685551 3.919460 4.106630 0.472163 0.558735 0.646165
770 3.685551 3.890704 4.042377 0.469846 0.562532 0.646165
780 3.685551 3.869894 4.015976 0.469846 0.564959 0.646165
790 3.652655 3.844954 3.983754 0.469846 0.569944 0.646165
800 3.652655 3.820453 3.951805 0.469846 0.574453 0.646165
810 3.652655 3.799596 3.916307 0.469846 0.578650 0.646165
820 3.652655 3.778423 3.905500 0.469846 0.583562 0.646165
830 3.652655 3.759028 3.870954 0.469846 0.587424 0.646165
840 3.628547 3.740436 3.847557 0.513026 0.593675 0.646165
850 3.628547 3.723952 3.820868 0.539987 0.598062 0.646165
860 3.628547 3.708729 3.787526 0.539987 0.602169 0.646165
870 3.628547 3.696572 3.769630 0.539987 0.605027 0.646165
880 3.628547 3.685117 3.761631 0.539987 0.608195 0.646165
890 3.628547 3.675059 3.749511 0.539987 0.610926 0.646165
900 3.628547 3.665509 3.723106 0.539987 0.610079 0.646165
910 3.628547 3.658617 3.713921 0.571963 0.614908 0.646165
920 3.610743 3.651745 3.691207 0.579256 0.614556 0.646165
930 3.610743 3.647018 3.662694 0.579256 0.612751 0.622245
