# generation power_min power_avg power_max util_min util_avg util_max
1 7.301096 8.727739 10.376728 0.316109 0.452558 0.624674
10 7.301096 8.545262 9.669259 0.298416 0.456338 0.624674
20 7.101854 8.388438 9.255380 0.298416 0.456416 0.624674
30 7.101854 8.246762 9.026853 0.298416 0.457010 0.624674
40 7.101854 8.118336 8.868886 0.298416 0.453286 0.624674
50 7.031847 7.991806 8.677150 0.298416 0.452205 0.624674
60 6.638983 7.860391 8.520814 0.298416 0.452453 0.624674
70 6.638983 7.728576 8.327359 0.265370 0.453131 0.624674
80 6.426473 7.621630 8.261969 0.265370 0.453163 0.624674
90 6.267350 7.493582 8.160998 0.265370 0.451225 0.624674
100 6.165978 7.367979 8.018510 0.265370 0.451446 0.624674
110 6.165978 7.258127 7.911663 0.265370 0.446777 0.624674
120 6.018793 7.147946 7.760628 0.265370 0.444264 0.567532
130 5.688328 7.016930 7.664589 0.265370 0.439226 0.567532
140 5.457589 6.877400 7.544284 0.265370 0.434624 0.567532
150 5.457589 6.750473 7.419209 0.265370 0.432047 0.566094
160 5.457589 6.639014 7.336207 0.261796 0.426085 0.566094
170 5.263713 6.487129 7.180732 0.261796 0.422808 0.566094
180 5.158213 6.352453 7.073802 0.261796 0.422011 0.566094
190 4.856482 6.195533 6.968042 0.261796 0.424621 0.566094
200 4.856482 6.040300 6.857351 0.261796 0.422736 0.566094
210 4.856482 5.887348 6.729597 0.261796 0.421630 0.566094
220 4.681910 5.743857 6.590524 0.281759 0.416561 0.554169
230 4.681910 5.603419 6.426473 0.284730 0.416895 0.554169
240 4.574173 5.482811 6.257144 0.284730 0.416091 0.554169
250 4.574173 5.347976 6.085792 0.284730 0.415838 0.554169
260 4.110472 5.215206 5.875187 0.302403 0.416009 0.554169
270 4.110472 5.128835 5.688328 0.304618 0.417426 0.554169
280 4.110472 5.044845 5.570332 0.304618 0.417566 0.546694
290 4.110472 4.948906 5.448974 0.304618 0.415728 0.546694
300 4.110472 4.867448 5.295262 0.304618 0.414100 0.546694
310 4.110472 4.796035 5.255268 0.304618 0.412140 0.546694
320 4.110472 4.724359 5.128612 0.318886 0.410538 0.546694
330 4.072657 4.657532 5.018578 0.299328 0.406805 0.546694
340 4.005842 4.591325 4.939557 0.299328 0.404570 0.546694
350 4.005842 4.524630 4.874885 0.299328 0.402700 0.546694
360 3.913724 4.460600 4.846096 0.299328 0.397709 0.546694
370 3.913724 4.398352 4.743685 0.299328 0.395836 0.546694
380 3.794286 4.332647 4.681277 0.299328 0.394365 0.546694
390 3.794286 4.275953 4.589162 0.299328 0.391189 0.474888
400 3.794286 4.222671 4.527929 0.299328 0.388544 0.474888
410 3.794286 4.176219 4.440979 0.299328 0.384662 0.474888
420 3.789125 4.132837 4.395923 0.303489 0.384589 0.474888
430 3.689891 4.081187 4.356910 0.303489 0.379284 0.474888
440 3.689891 4.033408 4.300435 0.303489 0.374561 0.474888
450 3.667031 3.987277 4.236118 0.303489 0.370613 0.448207
460 3.667031 3.941787 4.181014 0.303489 0.369518 0.448207
470 3.507059 3.892205 4.128184 0.303489 0.367759 0.448207
480 3.506315 3.848411 4.076814 0.305269 0.366230 0.435606
490 3.464781 3.802507 4.049706 0.295071 0.362444 0.435606
500 3.278322 3.755082 3.986254 0.295071 0.358357 0.435447
510 3.241360 3.717735 3.954145 0.295071 0.355472 0.435447
520 3.228091 3.668138 3.887863 0.295071 0.354410 0.435447
530 3.222609 3.629388 3.838753 0.295071 0.352611 0.435447
540 3.222609 3.592895 3.792626 0.293593 0.350142 0.431804
550 3.132850 3.549833 3.767288 0.293593 0.347850 0.431804
560 3.132850 3.505318 3.726680 0.293593 0.344443 0.431804
570 2.985821 3.462971 3.689891 0.293593 0.343812 0.431804
580 2.985821 3.416899 3.663082 0.293593 0.343869 0.409831
590 2.985821 3.371535 3.603763 0.293593 0.343244 0.409831
600 2.985821 3.328902 3.583910 0.293593 0.344064 0.409831
610 2.965299 3.279710 3.507059 0.303537 0.345988 0.409831
620 2.965299 3.240011 3.489603 0.303537 0.344726 0.409831
630 2.965299 3.203511 3.434734 0.303696 0.343671 0.409831
640 2.965299 3.165114 3.399102 0.303736 0.343432 0.409831
650 2.959556 3.127385 3.338891 0.303736 0.344737 0.395414
660 2.894530 3.096201 3.278322 0.309187 0.346463 0.395414
670 2.894530 3.068546 3.243357 0.309187 0.347524 0.395414
