# generation power_min power_avg power_max util_min util_avg util_max
1 17.303438 20.648955 24.692511 0.230668 0.303370 0.385586
10 16.597873 20.233701 22.498439 0.213427 0.295159 0.354764
20 16.168465 19.894762 21.542357 0.213427 0.288719 0.342017
30 16.168465 19.595047 21.284512 0.213427 0.282475 0.333545
40 16.168465 19.274459 20.743782 0.213427 0.276539 0.330812
50 15.666689 18.897960 20.621571 0.192297 0.269300 0.322020
60 15.666689 18.546382 20.448174 0.192297 0.263172 0.322020
70 15.666689 18.204488 20.093786 0.192297 0.256278 0.305750
80 15.557156 17.875046 19.747995 0.192297 0.250402 0.301870
90 15.508970 17.556967 19.447195 0.192297 0.244095 0.300769
100 15.126999 17.289932 18.970799 0.192297 0.238587 0.291659
110 14.457179 16.984356 18.701298 0.178934 0.232376 0.283351
120 14.457179 16.705538 18.222947 0.178934 0.227709 0.281793
130 14.457179 16.470270 17.846073 0.178934 0.223374 0.266464
140 14.457179 16.246712 17.424189 0.178934 0.219937 0.260431
150 14.457179 16.052581 17.268868 0.178934 0.217304 0.260431
160 13.650590 15.845691 16.942730 0.158041 0.212784 0.254440
170 13.650590 15.640972 16.824600 0.158041 0.208097 0.247782
180 13.513691 15.434584 16.547870 0.158041 0.204517 0.230873
190 13.454549 15.228608 16.326704 0.155427 0.200621 0.227266
200 13.454549 15.030579 16.126402 0.155427 0.196457 0.227266
210 13.085199 14.789742 15.910666 0.155427 0.191495 0.220768
220 12.481625 14.576847 15.680104 0.144729 0.187769 0.216260
230 12.481625 14.359558 15.474216 0.144729 0.183348 0.215342
240 12.481625 14.157196 15.305440 0.144729 0.178927 0.215342
250 12.481625 13.980302 15.153278 0.144729 0.175332 0.215342
260 12.481625 13.794487 14.913611 0.143069 0.171151 0.214317
270 12.420486 13.608168 14.698699 0.141361 0.166550 0.206765
280 12.330804 13.442898 14.332098 0.140104 0.162840 0.190052
290 12.330804 13.296858 14.178669 0.140104 0.159386 0.190052
300 11.912502 13.153933 13.855146 0.135492 0.156367 0.182560
310 11.710666 13.024742 13.663549 0.129344 0.153965 0.182560
320 11.475588 12.903484 13.577524 0.122063 0.151535 0.175110
330 11.475588 12.781024 13.463646 0.122063 0.149245 0.172836
340 11.475588 12.664006 13.399109 0.122063 0.147109 0.171232
350 11.475588 12.535589 13.280619 0.122063 0.144700 0.164786
360 11.475588 12.410175 13.139072 0.122063 0.142736 0.164786
370 11.270998 12.291373 12.963965 0.122063 0.141261 0.164786
380 11.270998 12.198347 12.758795 0.122063 0.139823 0.154563
390 11.270998 12.111978 12.676104 0.122063 0.138577 0.154563
400 11.270998 12.015045 12.519936 0.122063 0.136633 0.148494
410 11.270998 11.919488 12.420486 0.122063 0.135472 0.148494
420 11.140166 11.827901 12.372311 0.122063 0.134116 0.148494
430 11.139554 11.726455 12.306834 0.122063 0.132503 0.145388
440 11.059827 11.630478 12.171139 0.122063 0.131025 0.145388
450 10.935576 11.543687 12.055889 0.122063 0.129528 0.142332
460 10.935576 11.463377 11.912502 0.121121 0.128595 0.139001
470 10.859513 11.387373 11.855255 0.121121 0.127695 0.139001
480 10.859513 11.314035 11.645259 0.121121 0.127021 0.135350
490 10.689105 11.245259 11.585170 0.121121 0.126471 0.135350
500 10.610950 11.174123 11.547027 0.121121 0.126225 0.135350
510 10.610950 11.105545 11.486634 0.121121 0.125827 0.135350
520 10.610950 11.036273 11.461736 0.121121 0.125654 0.135350
530 10.610950 10.969694 11.327535 0.121121 0.125215 0.135350
540 10.599542 10.916178 11.247529 0.121121 0.124962 0.135350
550 10.599542 10.864919 11.147961 0.121121 0.124554 0.131263
560 10.599542 10.817812 11.139554 0.121121 0.124227 0.131263
570 10.599542 10.773696 11.014941 0.122065 0.123947 0.127795
580 10.599542 10.743165 10.935576 0.122916 0.123995 0.127795
590 10.599542 10.714149 10.889741 0.122916 0.123790 0.127795
600 10.599542 10.687321 10.874312 0.122916 0.123390 0.126025
610 10.541507 10.662323 10.838181 0.122916 0.123335 0.126025
620 10.541507 10.643794 10.750370 0.122916 0.123323 0.124763
630 10.541507 10.631830 10.689105 0.122916 0.123366 0.124763
640 10.541507 10.622484 10.689105 0.122916 0.123460 0.124763
650 10.541507 10.612471 10.689105 0.122916 0.123558 0.124763
660 10.541507 10.606684 10.619662 0.122916 0.123639 0.124763
670 10.541507 10.604795 10.619662 0.122916 0.123751 0.124763
680 10.521387 10.601991 10.619662 0.122916 0.123872 0.125237
690 10.451944 10.596716 10.610950 0.123860 0.123993 0.125237
700 10.451944 10.592473 10.610950 0.123860 0.124028 0.125237
710 10.451944 10.588564 10.610950 0.123860 0.124087 0.125237
720 10.451944 10.582643 10.610950 0.123860 0.124146 0.125237
730 10.451944 10.576850 10.610950 0.123860 0.124172 0.125237
740 10.451944 10.570486 10.610950 0.123860 0.124177 0.125237
750 10.451944 10.562063 10.610950 0.123860 0.124218 0.125237
760 10.451944 10.551825 10.610950 0.123860 0.124291 0.125237
770 10.413144 10.541528 10.599542 0.123860 0.124312 0.125237
780 10.413144 10.528089 10.599542 0.123860 0.124378 0.125237
790 10.413144 10.515725 10.599542 0.123860 0.124445 0.125237
800 10.413144 10.504920 10.541507 0.123860 0.124507 0.125237
810 10.413144 10.495187 10.541507 0.123860 0.124645 0.125237
820 10.413144 10.486231 10.541507 0.123860 0.124782 0.125237
830 10.413144 10.477999 10.541507 0.123860 0.124906 0.125237
