# generation power_min power_avg power_max util_min util_avg util_max
1 16.302336 14.233989 16.302336 0.780925 1.112216 1.434365
10 16.302336 14.071200 16.302336 0.780925 1.077461 1.349411
20 16.302336 13.817802 16.302336 0.780925 1.044282 1.299196
30 16.302336 13.674266 16.302336 0.760778 1.013797 1.231336
40 11.375221 13.440229 16.302336 0.712846 0.986681 1.231336
50 11.340235 13.249706 16.302336 0.685005 0.965558 1.231336
60 10.168500 12.933431 15.347931 0.685005 0.946704 1.125817
70 10.168500 12.612478 14.950167 0.685005 0.940232 1.115172
80 9.899517 12.440755 14.459417 0.685005 0.925977 1.103360
90 9.899517 12.215171 14.033251 0.685005 0.917989 1.056972
100 9.899517 11.954845 13.461806 0.621701 0.899931 1.056972
110 9.803207 11.709309 13.246356 0.621701 0.886781 1.056972
120 9.441246 11.507162 12.928242 0.621701 0.879385 1.038620
130 9.256527 11.279932 12.625160 0.621701 0.871546 1.038620
140 8.975066 11.023794 12.381464 0.621701 0.865357 1.038620
150 8.897450 10.786341 12.013282 0.602732 0.859155 1.038620
160 8.897450 10.583649 11.812115 0.602732 0.849334 1.006369
170 8.726914 10.359856 11.474883 0.602732 0.844508 1.006369
180 8.726914 10.141988 11.366362 0.602732 0.831169 1.006369
190 8.459771 9.930567 11.208384 0.602732 0.816864 1.006369
200 8.449882 9.709753 10.946912 0.602732 0.810218 1.006369
210 8.439042 9.528676 10.626262 0.602732 0.798064 1.006369
220 8.215711 9.355214 10.396938 0.602732 0.797617 0.988058
230 8.015077 9.204613 10.127052 0.602732 0.799244 0.988058
240 8.015077 9.071808 9.877877 0.602732 0.805913 0.988058
250 8.015077 8.945688 9.740222 0.612791 0.811937 0.988058
260 8.015077 8.832401 9.499214 0.612791 0.823050 0.988058
270 8.015077 8.736204 9.309196 0.638848 0.837664 0.988058
280 7.955437 8.631666 9.194727 0.655599 0.843999 0.988058
290 7.918233 8.541872 9.021746 0.655599 0.849966 0.988058
300 7.918233 8.468330 8.903855 0.655599 0.856623 1.007197
310 7.710033 8.393596 8.862420 0.655599 0.859034 1.007197
320 7.710033 8.325281 8.722304 0.655599 0.855854 1.007197
330 7.710033 8.256039 8.655473 0.706094 0.858699 1.007197
340 7.452725 8.171327 8.561244 0.733722 0.855270 1.007197
350 7.452725 8.093361 8.439042 0.733722 0.854282 1.007197
360 7.436935 8.022692 8.394644 0.733722 0.849999 1.007197
370 7.386098 7.961446 8.334746 0.733722 0.847968 0.976749
380 7.152479 7.882765 8.303031 0.733722 0.847851 0.993703
390 7.152479 7.813212 8.233854 0.733722 0.846132 0.993703
400 7.111576 7.730748 8.136066 0.733722 0.843374 0.993703
410 6.909055 7.648883 8.018358 0.688759 0.834003 0.993703
420 6.773364 7.558076 7.960093 0.650886 0.827567 0.993703
430 6.773364 7.480769 7.890742 0.650886 0.820474 0.993703
440 6.586955 7.399547 7.832719 0.650886 0.816278 0.993703
450 6.530577 7.325998 7.751711 0.650886 0.809919 0.993703
460 6.530577 7.245183 7.695035 0.650886 0.803935 0.993703
470 6.530577 7.171622 7.624793 0.650886 0.797925 0.993703
480 6.484343 7.091954 7.534694 0.650886 0.796624 0.993703
490 6.345250 7.005283 7.464554 0.650886 0.794362 0.993703
500 6.345250 6.930266 7.362002 0.650886 0.787135 0.993703
510 6.345250 6.870481 7.236408 0.650886 0.782535 0.993703
520 6.206709 6.802595 7.170489 0.650886 0.776527 0.969989
530 6.206709 6.741036 7.109079 0.650886 0.767165 0.969989
540 6.116791 6.663737 7.015539 0.650886 0.764535 0.969989
550 6.116791 6.611514 6.953188 0.650886 0.760526 0.969989
560 6.116791 6.556963 6.869155 0.650886 0.756887 0.969989
